[000500/100000]	Cells: 1  Coverage: 0.00038147%		Max Fitness: 0.05106733	Mean Fitness: 0.05106733	Min Fitness: 0.05106733	QD Score: 0.05106733
[001000/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.05836219	Mean Fitness: 0.05379456	Min Fitness: 0.04859641	QD Score: 0.37656190
[001500/100000]	Cells: 11  Coverage: 0.00419617%		Max Fitness: 0.05937838	Mean Fitness: 0.05401885	Min Fitness: 0.04926546	QD Score: 0.59420737
[002000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.05958254	Mean Fitness: 0.05422555	Min Fitness: 0.04917049	QD Score: 0.86760875
[002500/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.06114873	Mean Fitness: 0.05436907	Min Fitness: 0.04868481	QD Score: 1.03301228
[003000/100000]	Cells: 22  Coverage: 0.00839233%		Max Fitness: 0.06114873	Mean Fitness: 0.05455220	Min Fitness: 0.04868481	QD Score: 1.20014833
[003500/100000]	Cells: 24  Coverage: 0.00915527%		Max Fitness: 0.06114873	Mean Fitness: 0.05479327	Min Fitness: 0.04868481	QD Score: 1.31503836
[004000/100000]	Cells: 25  Coverage: 0.00953674%		Max Fitness: 0.06114873	Mean Fitness: 0.05506029	Min Fitness: 0.04868481	QD Score: 1.37650723
[004500/100000]	Cells: 27  Coverage: 0.01029968%		Max Fitness: 0.06266382	Mean Fitness: 0.05517510	Min Fitness: 0.04973987	QD Score: 1.48972771
[005000/100000]	Cells: 28  Coverage: 0.01068115%		Max Fitness: 0.06266382	Mean Fitness: 0.05524168	Min Fitness: 0.04973987	QD Score: 1.54676709
[005500/100000]	Cells: 30  Coverage: 0.01144409%		Max Fitness: 0.06266382	Mean Fitness: 0.05561226	Min Fitness: 0.04973987	QD Score: 1.66836773
[006000/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.06266382	Mean Fitness: 0.05553890	Min Fitness: 0.04973987	QD Score: 1.72170590
[006500/100000]	Cells: 32  Coverage: 0.01220703%		Max Fitness: 0.06393270	Mean Fitness: 0.05555379	Min Fitness: 0.04973987	QD Score: 1.77772141
[007000/100000]	Cells: 33  Coverage: 0.01258850%		Max Fitness: 0.06393270	Mean Fitness: 0.05549012	Min Fitness: 0.04973987	QD Score: 1.83117381
[007500/100000]	Cells: 34  Coverage: 0.01296997%		Max Fitness: 0.06393270	Mean Fitness: 0.05560682	Min Fitness: 0.04973987	QD Score: 1.89063191
[008000/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.06393270	Mean Fitness: 0.05525967	Min Fitness: 0.04946182	QD Score: 2.21038692
[008500/100000]	Cells: 41  Coverage: 0.01564026%		Max Fitness: 0.06393270	Mean Fitness: 0.05526923	Min Fitness: 0.04946182	QD Score: 2.26603838
[009000/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.06393270	Mean Fitness: 0.05513380	Min Fitness: 0.04946182	QD Score: 2.37075357
[009500/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.06393270	Mean Fitness: 0.05531994	Min Fitness: 0.04946182	QD Score: 2.43407722
[010000/100000]	Cells: 45  Coverage: 0.01716614%		Max Fitness: 0.06393270	Mean Fitness: 0.05524380	Min Fitness: 0.04946182	QD Score: 2.48597107
[010500/100000]	Cells: 47  Coverage: 0.01792908%		Max Fitness: 0.06393270	Mean Fitness: 0.05540883	Min Fitness: 0.04946182	QD Score: 2.60421489
