[000500/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.06704450	Mean Fitness: 0.06602522	Min Fitness: 0.06476488	QD Score: 0.46217653
[001000/100000]	Cells: 13  Coverage: 0.00495911%		Max Fitness: 0.06731900	Mean Fitness: 0.06583596	Min Fitness: 0.06310834	QD Score: 0.85586743
[001500/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.07493969	Mean Fitness: 0.06697073	Min Fitness: 0.06310834	QD Score: 1.07153168
[002000/100000]	Cells: 21  Coverage: 0.00801086%		Max Fitness: 0.07493969	Mean Fitness: 0.06652067	Min Fitness: 0.05910215	QD Score: 1.39693415
[002500/100000]	Cells: 32  Coverage: 0.01220703%		Max Fitness: 0.07552088	Mean Fitness: 0.06646027	Min Fitness: 0.05910215	QD Score: 2.12672877
[003000/100000]	Cells: 36  Coverage: 0.01373291%		Max Fitness: 0.07552088	Mean Fitness: 0.06696406	Min Fitness: 0.05910215	QD Score: 2.41070618
[003500/100000]	Cells: 42  Coverage: 0.01602173%		Max Fitness: 0.07552088	Mean Fitness: 0.06654828	Min Fitness: 0.05910215	QD Score: 2.79502779
[004000/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.07552088	Mean Fitness: 0.06662240	Min Fitness: 0.05910215	QD Score: 3.06463023
[004500/100000]	Cells: 53  Coverage: 0.02021790%		Max Fitness: 0.07552088	Mean Fitness: 0.06676880	Min Fitness: 0.05910215	QD Score: 3.53874650
[005000/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.07552088	Mean Fitness: 0.06655343	Min Fitness: 0.05910215	QD Score: 3.99320569
[005500/100000]	Cells: 65  Coverage: 0.02479553%		Max Fitness: 0.07552088	Mean Fitness: 0.06648976	Min Fitness: 0.05910215	QD Score: 4.32183437
[006000/100000]	Cells: 69  Coverage: 0.02632141%		Max Fitness: 0.07552088	Mean Fitness: 0.06656217	Min Fitness: 0.05910215	QD Score: 4.59278962
[006500/100000]	Cells: 76  Coverage: 0.02899170%		Max Fitness: 0.07552088	Mean Fitness: 0.06634178	Min Fitness: 0.05910215	QD Score: 5.04197555
[007000/100000]	Cells: 83  Coverage: 0.03166199%		Max Fitness: 0.07552088	Mean Fitness: 0.06636030	Min Fitness: 0.05910215	QD Score: 5.50790497
[007500/100000]	Cells: 87  Coverage: 0.03318787%		Max Fitness: 0.07552088	Mean Fitness: 0.06626617	Min Fitness: 0.05910215	QD Score: 5.76515690
[008000/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07552088	Mean Fitness: 0.06621012	Min Fitness: 0.05910215	QD Score: 6.02512106
[008500/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.07552088	Mean Fitness: 0.06622392	Min Fitness: 0.05953639	QD Score: 6.15882417
[009000/100000]	Cells: 96  Coverage: 0.03662109%		Max Fitness: 0.07552088	Mean Fitness: 0.06631395	Min Fitness: 0.06058656	QD Score: 6.36613959
[009500/100000]	Cells: 99  Coverage: 0.03776550%		Max Fitness: 0.07552088	Mean Fitness: 0.06646991	Min Fitness: 0.06058656	QD Score: 6.58052067
[010000/100000]	Cells: 104  Coverage: 0.03967285%		Max Fitness: 0.07552088	Mean Fitness: 0.06630581	Min Fitness: 0.05933430	QD Score: 6.89580430
[010500/100000]	Cells: 108  Coverage: 0.04119873%		Max Fitness: 0.07552088	Mean Fitness: 0.06628508	Min Fitness: 0.05933430	QD Score: 7.15878855
[011000/100000]	Cells: 114  Coverage: 0.04348755%		Max Fitness: 0.07552088	Mean Fitness: 0.06614491	Min Fitness: 0.05933430	QD Score: 7.54051972
[011500/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.07552088	Mean Fitness: 0.06605142	Min Fitness: 0.05933430	QD Score: 7.92617073
[012000/100000]	Cells: 126  Coverage: 0.04806519%		Max Fitness: 0.07552088	Mean Fitness: 0.06605890	Min Fitness: 0.05933430	QD Score: 8.32342103
[012500/100000]	Cells: 135  Coverage: 0.05149841%		Max Fitness: 0.07782998	Mean Fitness: 0.06599829	Min Fitness: 0.05933430	QD Score: 8.90976928
[013000/100000]	Cells: 139  Coverage: 0.05302429%		Max Fitness: 0.07782998	Mean Fitness: 0.06601462	Min Fitness: 0.05933430	QD Score: 9.17603191
[013500/100000]	Cells: 143  Coverage: 0.05455017%		Max Fitness: 0.07782998	Mean Fitness: 0.06595312	Min Fitness: 0.05933430	QD Score: 9.43129618
[014000/100000]	Cells: 146  Coverage: 0.05569458%		Max Fitness: 0.07782998	Mean Fitness: 0.06587922	Min Fitness: 0.05927138	QD Score: 9.61836593
[014500/100000]	Cells: 148  Coverage: 0.05645752%		Max Fitness: 0.07782998	Mean Fitness: 0.06589787	Min Fitness: 0.05927138	QD Score: 9.75288410
[015000/100000]	Cells: 152  Coverage: 0.05798340%		Max Fitness: 0.07782998	Mean Fitness: 0.06588902	Min Fitness: 0.05927138	QD Score: 10.01513178
[015500/100000]	Cells: 153  Coverage: 0.05836487%		Max Fitness: 0.07782998	Mean Fitness: 0.06592108	Min Fitness: 0.05927138	QD Score: 10.08592495
[016000/100000]	Cells: 157  Coverage: 0.05989075%		Max Fitness: 0.07782998	Mean Fitness: 0.06596481	Min Fitness: 0.05927138	QD Score: 10.35647520
[016500/100000]	Cells: 161  Coverage: 0.06141663%		Max Fitness: 0.07782998	Mean Fitness: 0.06602191	Min Fitness: 0.05927138	QD Score: 10.62952812
[017000/100000]	Cells: 163  Coverage: 0.06217957%		Max Fitness: 0.07782998	Mean Fitness: 0.06598203	Min Fitness: 0.05927138	QD Score: 10.75507162
[017500/100000]	Cells: 168  Coverage: 0.06408691%		Max Fitness: 0.07782998	Mean Fitness: 0.06593460	Min Fitness: 0.05916713	QD Score: 11.07701275
[018000/100000]	Cells: 174  Coverage: 0.06637573%		Max Fitness: 0.07782998	Mean Fitness: 0.06586843	Min Fitness: 0.05916713	QD Score: 11.46110611
[018500/100000]	Cells: 181  Coverage: 0.06904602%		Max Fitness: 0.07782998	Mean Fitness: 0.06588202	Min Fitness: 0.05916713	QD Score: 11.92464590
[019000/100000]	Cells: 183  Coverage: 0.06980896%		Max Fitness: 0.07782998	Mean Fitness: 0.06587887	Min Fitness: 0.05916713	QD Score: 12.05583306
[019500/100000]	Cells: 188  Coverage: 0.07171631%		Max Fitness: 0.07782998	Mean Fitness: 0.06587508	Min Fitness: 0.05916713	QD Score: 12.38451586
[020000/100000]	Cells: 193  Coverage: 0.07362366%		Max Fitness: 0.07782998	Mean Fitness: 0.06587220	Min Fitness: 0.05916713	QD Score: 12.71333524
[020500/100000]	Cells: 195  Coverage: 0.07438660%		Max Fitness: 0.07782998	Mean Fitness: 0.06587270	Min Fitness: 0.05916713	QD Score: 12.84517628
[021000/100000]	Cells: 203  Coverage: 0.07743835%		Max Fitness: 0.07782998	Mean Fitness: 0.06590531	Min Fitness: 0.05931968	QD Score: 13.37877884
[021500/100000]	Cells: 208  Coverage: 0.07934570%		Max Fitness: 0.07782998	Mean Fitness: 0.06584612	Min Fitness: 0.05931968	QD Score: 13.69599373
[022000/100000]	Cells: 216  Coverage: 0.08239746%		Max Fitness: 0.07782998	Mean Fitness: 0.06573978	Min Fitness: 0.05781619	QD Score: 14.19979242
[022500/100000]	Cells: 218  Coverage: 0.08316040%		Max Fitness: 0.07782998	Mean Fitness: 0.06578173	Min Fitness: 0.05781619	QD Score: 14.34041635
[023000/100000]	Cells: 222  Coverage: 0.08468628%		Max Fitness: 0.07782998	Mean Fitness: 0.06573056	Min Fitness: 0.05781619	QD Score: 14.59218407
[023500/100000]	Cells: 223  Coverage: 0.08506775%		Max Fitness: 0.07782998	Mean Fitness: 0.06577321	Min Fitness: 0.05781619	QD Score: 14.66742593
[024000/100000]	Cells: 227  Coverage: 0.08659363%		Max Fitness: 0.07782998	Mean Fitness: 0.06576525	Min Fitness: 0.05781619	QD Score: 14.92871130
[024500/100000]	Cells: 231  Coverage: 0.08811951%		Max Fitness: 0.07782998	Mean Fitness: 0.06580618	Min Fitness: 0.05781619	QD Score: 15.20122838
[025000/100000]	Cells: 233  Coverage: 0.08888245%		Max Fitness: 0.07782998	Mean Fitness: 0.06576760	Min Fitness: 0.05738507	QD Score: 15.32385107
[025500/100000]	Cells: 236  Coverage: 0.09002686%		Max Fitness: 0.07782998	Mean Fitness: 0.06576231	Min Fitness: 0.05738507	QD Score: 15.51990523
[026000/100000]	Cells: 238  Coverage: 0.09078979%		Max Fitness: 0.07782998	Mean Fitness: 0.06576185	Min Fitness: 0.05738507	QD Score: 15.65132018
[026500/100000]	Cells: 240  Coverage: 0.09155273%		Max Fitness: 0.07782998	Mean Fitness: 0.06581894	Min Fitness: 0.05738507	QD Score: 15.79654501
