[000500/100000]	Cells: 1  Coverage: 0.00038147%		Max Fitness: 0.05486954	Mean Fitness: 0.05486954	Min Fitness: 0.05486954	QD Score: 0.05486954
[001000/100000]	Cells: 6  Coverage: 0.00228882%		Max Fitness: 0.06654691	Mean Fitness: 0.05561784	Min Fitness: 0.05061074	QD Score: 0.33370704
[001500/100000]	Cells: 8  Coverage: 0.00305176%		Max Fitness: 0.06852391	Mean Fitness: 0.05522499	Min Fitness: 0.05166277	QD Score: 0.44179991
[002000/100000]	Cells: 9  Coverage: 0.00343323%		Max Fitness: 0.06852391	Mean Fitness: 0.05501850	Min Fitness: 0.05166277	QD Score: 0.49516654
[002500/100000]	Cells: 15  Coverage: 0.00572205%		Max Fitness: 0.06852391	Mean Fitness: 0.05599808	Min Fitness: 0.05166277	QD Score: 0.83997127
[003000/100000]	Cells: 15  Coverage: 0.00572205%		Max Fitness: 0.06852391	Mean Fitness: 0.05677197	Min Fitness: 0.05166277	QD Score: 0.85157949
[003500/100000]	Cells: 17  Coverage: 0.00648499%		Max Fitness: 0.06852391	Mean Fitness: 0.05644977	Min Fitness: 0.05166277	QD Score: 0.95964602
[004000/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.06998326	Mean Fitness: 0.05769959	Min Fitness: 0.05166277	QD Score: 1.09629216
[004500/100000]	Cells: 22  Coverage: 0.00839233%		Max Fitness: 0.07005528	Mean Fitness: 0.05719824	Min Fitness: 0.05166277	QD Score: 1.25836130
[005000/100000]	Cells: 25  Coverage: 0.00953674%		Max Fitness: 0.07006017	Mean Fitness: 0.05700637	Min Fitness: 0.05166277	QD Score: 1.42515919
[005500/100000]	Cells: 25  Coverage: 0.00953674%		Max Fitness: 0.07030303	Mean Fitness: 0.05783847	Min Fitness: 0.05174855	QD Score: 1.44596176
[006000/100000]	Cells: 27  Coverage: 0.01029968%		Max Fitness: 0.07030303	Mean Fitness: 0.05797000	Min Fitness: 0.05157396	QD Score: 1.56519005
[006500/100000]	Cells: 28  Coverage: 0.01068115%		Max Fitness: 0.07030303	Mean Fitness: 0.05811491	Min Fitness: 0.05157396	QD Score: 1.62721755
[007000/100000]	Cells: 29  Coverage: 0.01106262%		Max Fitness: 0.07030303	Mean Fitness: 0.05829453	Min Fitness: 0.05157396	QD Score: 1.69054146
