[000500/100000]	Cells: 1  Coverage: 0.00038147%		Max Fitness: 0.05325708	Mean Fitness: 0.05325708	Min Fitness: 0.05325708	QD Score: 0.05325708
[001000/100000]	Cells: 4  Coverage: 0.00152588%		Max Fitness: 0.05568341	Mean Fitness: 0.05287535	Min Fitness: 0.05114198	QD Score: 0.21150140
[001500/100000]	Cells: 6  Coverage: 0.00228882%		Max Fitness: 0.05926911	Mean Fitness: 0.05455595	Min Fitness: 0.05206216	QD Score: 0.32733573
[002000/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.05926911	Mean Fitness: 0.05453389	Min Fitness: 0.05206216	QD Score: 0.38173725
[002500/100000]	Cells: 10  Coverage: 0.00381470%		Max Fitness: 0.05926911	Mean Fitness: 0.05422666	Min Fitness: 0.05018385	QD Score: 0.54226659
[003000/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.05926911	Mean Fitness: 0.05465618	Min Fitness: 0.05018385	QD Score: 0.65587418
[003500/100000]	Cells: 14  Coverage: 0.00534058%		Max Fitness: 0.05926911	Mean Fitness: 0.05449012	Min Fitness: 0.05018385	QD Score: 0.76286173
[004000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.05926911	Mean Fitness: 0.05445570	Min Fitness: 0.05018385	QD Score: 0.87129116
[004500/100000]	Cells: 17  Coverage: 0.00648499%		Max Fitness: 0.05926911	Mean Fitness: 0.05437637	Min Fitness: 0.05079623	QD Score: 0.92439837
[005000/100000]	Cells: 17  Coverage: 0.00648499%		Max Fitness: 0.05926911	Mean Fitness: 0.05439329	Min Fitness: 0.05079623	QD Score: 0.92468597
[005500/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.05926911	Mean Fitness: 0.05448146	Min Fitness: 0.05079623	QD Score: 1.03514771
[006000/100000]	Cells: 22  Coverage: 0.00839233%		Max Fitness: 0.05926911	Mean Fitness: 0.05434758	Min Fitness: 0.05079623	QD Score: 1.19564668
[006500/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.05926911	Mean Fitness: 0.05446757	Min Fitness: 0.05079623	QD Score: 1.25275421
[007000/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.05926911	Mean Fitness: 0.05469317	Min Fitness: 0.05079623	QD Score: 1.25794295
[007500/100000]	Cells: 24  Coverage: 0.00915527%		Max Fitness: 0.05926911	Mean Fitness: 0.05491335	Min Fitness: 0.05079623	QD Score: 1.31792043
[008000/100000]	Cells: 26  Coverage: 0.00991821%		Max Fitness: 0.05926911	Mean Fitness: 0.05488902	Min Fitness: 0.05189564	QD Score: 1.42711442
[008500/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.05926911	Mean Fitness: 0.05487955	Min Fitness: 0.05138836	QD Score: 1.70126598
[009000/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.06068895	Mean Fitness: 0.05503257	Min Fitness: 0.05138836	QD Score: 1.70600952
[009500/100000]	Cells: 34  Coverage: 0.01296997%		Max Fitness: 0.06068895	Mean Fitness: 0.05502979	Min Fitness: 0.05189564	QD Score: 1.87101294
[010000/100000]	Cells: 37  Coverage: 0.01411438%		Max Fitness: 0.06068895	Mean Fitness: 0.05501707	Min Fitness: 0.05188159	QD Score: 2.03563163
[010500/100000]	Cells: 38  Coverage: 0.01449585%		Max Fitness: 0.06068895	Mean Fitness: 0.05505380	Min Fitness: 0.05188159	QD Score: 2.09204430
[011000/100000]	Cells: 39  Coverage: 0.01487732%		Max Fitness: 0.06068895	Mean Fitness: 0.05506983	Min Fitness: 0.05188159	QD Score: 2.14772318
[011500/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.06068895	Mean Fitness: 0.05488255	Min Fitness: 0.05137139	QD Score: 2.35994968
[012000/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.06068895	Mean Fitness: 0.05493064	Min Fitness: 0.05137139	QD Score: 2.41694835
[012500/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.06068895	Mean Fitness: 0.05483511	Min Fitness: 0.05028359	QD Score: 2.52241491
[013000/100000]	Cells: 48  Coverage: 0.01831055%		Max Fitness: 0.06068895	Mean Fitness: 0.05487189	Min Fitness: 0.05028359	QD Score: 2.63385074
[013500/100000]	Cells: 49  Coverage: 0.01869202%		Max Fitness: 0.06068895	Mean Fitness: 0.05493199	Min Fitness: 0.05137139	QD Score: 2.69166746
[014000/100000]	Cells: 49  Coverage: 0.01869202%		Max Fitness: 0.06068895	Mean Fitness: 0.05495324	Min Fitness: 0.05137139	QD Score: 2.69270896
[014500/100000]	Cells: 49  Coverage: 0.01869202%		Max Fitness: 0.06068895	Mean Fitness: 0.05503235	Min Fitness: 0.05137139	QD Score: 2.69658498
[015000/100000]	Cells: 50  Coverage: 0.01907349%		Max Fitness: 0.06068895	Mean Fitness: 0.05498438	Min Fitness: 0.05137139	QD Score: 2.74921895
[015500/100000]	Cells: 51  Coverage: 0.01945496%		Max Fitness: 0.06068895	Mean Fitness: 0.05501873	Min Fitness: 0.05137139	QD Score: 2.80595519
[016000/100000]	Cells: 52  Coverage: 0.01983643%		Max Fitness: 0.06068895	Mean Fitness: 0.05500160	Min Fitness: 0.05137139	QD Score: 2.86008329
[016500/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.06068895	Mean Fitness: 0.05496036	Min Fitness: 0.05137139	QD Score: 3.07778014
[017000/100000]	Cells: 58  Coverage: 0.02212524%		Max Fitness: 0.06068895	Mean Fitness: 0.05498319	Min Fitness: 0.05137139	QD Score: 3.18902485
[017500/100000]	Cells: 58  Coverage: 0.02212524%		Max Fitness: 0.06068895	Mean Fitness: 0.05498319	Min Fitness: 0.05137139	QD Score: 3.18902485
[018000/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.06068895	Mean Fitness: 0.05496792	Min Fitness: 0.05137139	QD Score: 3.24310751
[018500/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.06068895	Mean Fitness: 0.05496792	Min Fitness: 0.05137139	QD Score: 3.24310751
[019000/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.06068895	Mean Fitness: 0.05492473	Min Fitness: 0.05137139	QD Score: 3.29548355
[019500/100000]	Cells: 62  Coverage: 0.02365112%		Max Fitness: 0.06068895	Mean Fitness: 0.05497760	Min Fitness: 0.05137139	QD Score: 3.40861108
[020000/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.06068895	Mean Fitness: 0.05496058	Min Fitness: 0.05130832	QD Score: 3.46251660
[020500/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.06068895	Mean Fitness: 0.05502428	Min Fitness: 0.05130832	QD Score: 3.46652985
[021000/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.06068895	Mean Fitness: 0.05509641	Min Fitness: 0.05130832	QD Score: 3.47107404
[021500/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.06068895	Mean Fitness: 0.05509641	Min Fitness: 0.05130832	QD Score: 3.47107404
[022000/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.06068895	Mean Fitness: 0.05521523	Min Fitness: 0.05137139	QD Score: 3.47855923
[022500/100000]	Cells: 64  Coverage: 0.02441406%		Max Fitness: 0.06068895	Mean Fitness: 0.05525207	Min Fitness: 0.05137139	QD Score: 3.53613222
[023000/100000]	Cells: 68  Coverage: 0.02593994%		Max Fitness: 0.06068895	Mean Fitness: 0.05520512	Min Fitness: 0.05137139	QD Score: 3.75394834
[023500/100000]	Cells: 68  Coverage: 0.02593994%		Max Fitness: 0.06068895	Mean Fitness: 0.05520512	Min Fitness: 0.05137139	QD Score: 3.75394834
