[000500/100000]	Cells: 0  Coverage: 0.00000000%		Max Fitness: -Infinity	Mean Fitness: NaN	Min Fitness: Infinity	QD Score: 0.00000000
[001000/100000]	Cells: 4  Coverage: 0.00152588%		Max Fitness: 0.05550164	Mean Fitness: 0.05192427	Min Fitness: 0.05058854	QD Score: 0.20769707
[001500/100000]	Cells: 11  Coverage: 0.00419617%		Max Fitness: 0.06139234	Mean Fitness: 0.05345485	Min Fitness: 0.05005431	QD Score: 0.58800333
[002000/100000]	Cells: 15  Coverage: 0.00572205%		Max Fitness: 0.06177767	Mean Fitness: 0.05426411	Min Fitness: 0.04907426	QD Score: 0.81396170
[002500/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.06203735	Mean Fitness: 0.05433968	Min Fitness: 0.04907426	QD Score: 0.86943487
[003000/100000]	Cells: 21  Coverage: 0.00801086%		Max Fitness: 0.06203735	Mean Fitness: 0.05489177	Min Fitness: 0.04907426	QD Score: 1.15272726
[003500/100000]	Cells: 24  Coverage: 0.00915527%		Max Fitness: 0.06203735	Mean Fitness: 0.05500430	Min Fitness: 0.04907426	QD Score: 1.32010310
[004000/100000]	Cells: 24  Coverage: 0.00915527%		Max Fitness: 0.06203735	Mean Fitness: 0.05508431	Min Fitness: 0.04907426	QD Score: 1.32202337
[004500/100000]	Cells: 27  Coverage: 0.01029968%		Max Fitness: 0.06203735	Mean Fitness: 0.05526023	Min Fitness: 0.04907426	QD Score: 1.49202626
[005000/100000]	Cells: 30  Coverage: 0.01144409%		Max Fitness: 0.06355958	Mean Fitness: 0.05553384	Min Fitness: 0.04907426	QD Score: 1.66601524
[005500/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.06355958	Mean Fitness: 0.05576372	Min Fitness: 0.04907426	QD Score: 1.72867534
[006000/100000]	Cells: 34  Coverage: 0.01296997%		Max Fitness: 0.06355958	Mean Fitness: 0.05604213	Min Fitness: 0.04907426	QD Score: 1.90543253
[006500/100000]	Cells: 41  Coverage: 0.01564026%		Max Fitness: 0.06355958	Mean Fitness: 0.05628840	Min Fitness: 0.04907426	QD Score: 2.30782441
[007000/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.06355958	Mean Fitness: 0.05638540	Min Fitness: 0.04941126	QD Score: 2.48095756
[007500/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.06355958	Mean Fitness: 0.05637349	Min Fitness: 0.04941126	QD Score: 2.59318063
[008000/100000]	Cells: 47  Coverage: 0.01792908%		Max Fitness: 0.06503455	Mean Fitness: 0.05645418	Min Fitness: 0.04941126	QD Score: 2.65334656
[008500/100000]	Cells: 49  Coverage: 0.01869202%		Max Fitness: 0.06503455	Mean Fitness: 0.05652779	Min Fitness: 0.04941126	QD Score: 2.76986163
[009000/100000]	Cells: 52  Coverage: 0.01983643%		Max Fitness: 0.06503455	Mean Fitness: 0.05654633	Min Fitness: 0.04941126	QD Score: 2.94040920
[009500/100000]	Cells: 52  Coverage: 0.01983643%		Max Fitness: 0.06503455	Mean Fitness: 0.05660480	Min Fitness: 0.04941126	QD Score: 2.94344942
[010000/100000]	Cells: 55  Coverage: 0.02098083%		Max Fitness: 0.06503455	Mean Fitness: 0.05637555	Min Fitness: 0.04941126	QD Score: 3.10065504
[010500/100000]	Cells: 58  Coverage: 0.02212524%		Max Fitness: 0.06503455	Mean Fitness: 0.05634518	Min Fitness: 0.04941126	QD Score: 3.26802043
[011000/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.06503455	Mean Fitness: 0.05626145	Min Fitness: 0.04941126	QD Score: 3.31942577
[011500/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.06503455	Mean Fitness: 0.05628588	Min Fitness: 0.04941126	QD Score: 3.37715265
[012000/100000]	Cells: 62  Coverage: 0.02365112%		Max Fitness: 0.06503455	Mean Fitness: 0.05621437	Min Fitness: 0.04941126	QD Score: 3.48529108
[012500/100000]	Cells: 66  Coverage: 0.02517700%		Max Fitness: 0.06503455	Mean Fitness: 0.05638307	Min Fitness: 0.04941126	QD Score: 3.72128271
[013000/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.06503455	Mean Fitness: 0.05648443	Min Fitness: 0.04941126	QD Score: 3.95390994
[013500/100000]	Cells: 74  Coverage: 0.02822876%		Max Fitness: 0.06503455	Mean Fitness: 0.05641230	Min Fitness: 0.04941126	QD Score: 4.17451039
[014000/100000]	Cells: 74  Coverage: 0.02822876%		Max Fitness: 0.06503455	Mean Fitness: 0.05649288	Min Fitness: 0.04941126	QD Score: 4.18047306
[014500/100000]	Cells: 76  Coverage: 0.02899170%		Max Fitness: 0.06503455	Mean Fitness: 0.05641276	Min Fitness: 0.04941126	QD Score: 4.28737010
[015000/100000]	Cells: 78  Coverage: 0.02975464%		Max Fitness: 0.06503455	Mean Fitness: 0.05632419	Min Fitness: 0.04941126	QD Score: 4.39328654
[015500/100000]	Cells: 80  Coverage: 0.03051758%		Max Fitness: 0.06503455	Mean Fitness: 0.05639680	Min Fitness: 0.04941126	QD Score: 4.51174400
[016000/100000]	Cells: 81  Coverage: 0.03089905%		Max Fitness: 0.06503455	Mean Fitness: 0.05653199	Min Fitness: 0.04941126	QD Score: 4.57909082
[016500/100000]	Cells: 84  Coverage: 0.03204346%		Max Fitness: 0.06503455	Mean Fitness: 0.05649937	Min Fitness: 0.04941126	QD Score: 4.74594725
[017000/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.06515941	Mean Fitness: 0.05663591	Min Fitness: 0.04941126	QD Score: 4.87068822
[017500/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.06515941	Mean Fitness: 0.05663591	Min Fitness: 0.04941126	QD Score: 4.87068822
[018000/100000]	Cells: 87  Coverage: 0.03318787%		Max Fitness: 0.06908930	Mean Fitness: 0.05668716	Min Fitness: 0.04941126	QD Score: 4.93178250
[018500/100000]	Cells: 89  Coverage: 0.03395081%		Max Fitness: 0.06908930	Mean Fitness: 0.05683398	Min Fitness: 0.04941126	QD Score: 5.05822422
[019000/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.06908930	Mean Fitness: 0.05687852	Min Fitness: 0.04941126	QD Score: 5.17594570
[019500/100000]	Cells: 92  Coverage: 0.03509521%		Max Fitness: 0.06908930	Mean Fitness: 0.05682831	Min Fitness: 0.04941126	QD Score: 5.22820466
[020000/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.06908930	Mean Fitness: 0.05692573	Min Fitness: 0.04988782	QD Score: 5.40794456
[020500/100000]	Cells: 97  Coverage: 0.03700256%		Max Fitness: 0.06908930	Mean Fitness: 0.05710012	Min Fitness: 0.04988782	QD Score: 5.53871160
[021000/100000]	Cells: 101  Coverage: 0.03852844%		Max Fitness: 0.06908930	Mean Fitness: 0.05726334	Min Fitness: 0.05022835	QD Score: 5.78359724
[021500/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.06908930	Mean Fitness: 0.05738289	Min Fitness: 0.05109378	QD Score: 5.85305478
[022000/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.06908930	Mean Fitness: 0.05751092	Min Fitness: 0.05109378	QD Score: 5.86611404
[022500/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.06908930	Mean Fitness: 0.05751198	Min Fitness: 0.05109378	QD Score: 5.86622226
[023000/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.06908930	Mean Fitness: 0.05752762	Min Fitness: 0.05109378	QD Score: 5.86781684
[023500/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.06908930	Mean Fitness: 0.05752762	Min Fitness: 0.05109378	QD Score: 5.86781684
[024000/100000]	Cells: 104  Coverage: 0.03967285%		Max Fitness: 0.06908930	Mean Fitness: 0.05757249	Min Fitness: 0.05026977	QD Score: 5.98753868
[024500/100000]	Cells: 106  Coverage: 0.04043579%		Max Fitness: 0.06908930	Mean Fitness: 0.05746227	Min Fitness: 0.05026977	QD Score: 6.09100015
[025000/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.06908930	Mean Fitness: 0.05735989	Min Fitness: 0.05026977	QD Score: 6.25222810
